"DV" "baseline"
"1" 244 12
"2" 224 2
"3" 292 126
"4" 233 302
"5" 299 409
"6" 135 294
"7" 290 425
"8" 162 81
"9" 291 311
"10" 300 292
"11" 63 374
"12" 166 158
"13" 271 187
"14" 283 159
"15" 403 393
"16" 134 397
"17" 432 1
"18" 325 251
"19" 169 113
"20" 460 166
"21" 222 63
"22" 1 295
"23" 7 184
"24" 315 304
"25" 355 202
"26" 81 120
"27" 152 233
"28" 440 62
"29" 239 254
"30" 409 97
"31" 342 194
"32" 344 201
"33" 128 330
"34" 54 439
"35" 221 277
"36" 44 346
"37" 48 41
"38" 78 182
"39" 366 410
"40" 307 290
"41" 5 403
"42" 424 5
"43" 194 127
"44" 64 373
"45" 397 258
"46" 369 342
"47" 228 89
"48" 319 271
"49" 76 438
"50" 141 65
"51" 16 352
"52" 345 316
"53" 359 25
"54" 41 250
"55" 190 324
"56" 204 92
"57" 306 333
"58" 18 116
"59" 187 341
"60" 93 436
"61" 2 39
"62" 207 379
"63" 448 117
"64" 309 452
"65" 322 67
"66" 438 237
"67" 377 366
"68" 379 4
"69" 215 66
"70" 317 377
"71" 386 427
"72" 354 133
"73" 57 312
"74" 40 112
"75" 257 288
"76" 195 223
"77" 51 454
"78" 324 58
"79" 242 131
"80" 124 388
"81" 158 448
"82" 176 451
"83" 235 139
"84" 98 225
"85" 138 203
"86" 346 102
"87" 12 456
"88" 111 221
"89" 404 424
"90" 217 95
"91" 380 185
"92" 385 205
"93" 407 60
"94" 402 191
"95" 109 389
"96" 79 445
"97" 140 361
"98" 84 268
"99" 105 287
"100" 174 173
"101" 147 68
"102" 401 151
"103" 55 193
"104" 86 93
"105" 53 14
"106" 255 325
"107" 231 413
"108" 121 124
"109" 287 195
"110" 425 230
"111" 297 71
"112" 304 204
"113" 372 231
"114" 65 110
"115" 184 280
"116" 285 169
"117" 393 179
"118" 313 135
"119" 189 86
"120" 126 303
"121" 241 329
"122" 367 103
"123" 19 286
"124" 49 244
"125" 276 450
"126" 423 121
"127" 258 215
"128" 130 119
"129" 168 458
"130" 28 371
"131" 350 273
"132" 445 253
"133" 196 228
"134" 433 78
"135" 452 150
"136" 400 406
"137" 280 368
"138" 34 309
"139" 420 162
"140" 382 419
"141" 427 260
"142" 253 257
"143" 301 23
"144" 365 51
"145" 127 418
"146" 413 378
"147" 188 34
"148" 288 402
"149" 56 171
"150" 212 170
"151" 243 183
"152" 3 76
"153" 435 144
"154" 26 328
