"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"1" 0 0 0.815025866031647 0.322764578833693 -0.246790496760259
"2" 1 0 0.848059892654419 0.344946004319654 -0.224609071274298
"3" 2 0 0.879189431667328 0.360833693304536 -0.208721382289417
"4" 3 0 0.899931192398071 0.372993520518359 -0.196561555075594
"5" 4 0 0.92073267698288 0.3867343412527 -0.182820734341253
"6" 5 0 0.936953902244568 0.395516198704104 -0.174038876889849
"7" 6 0 0.945427715778351 0.404695464362851 -0.164859611231101
"8" 7 0 0.950427353382111 0.413257019438445 -0.156298056155508
"9" 8 0 0.967396855354309 0.421974082073434 -0.147580993520518
"10" 9 0 0.97424179315567 0.428799136069114 -0.140755939524838
"11" 10 0 0.981582880020142 0.435187904967603 -0.13436717062635
"12" 11 0 0.972570061683655 0.441917926565875 -0.127637149028078
"13" 12 0 0.967877984046936 0.447987041036717 -0.121568034557235
"14" 13 0 0.963562548160553 0.452794816414687 -0.116760259179266
"15" 14 0 0.962128937244415 0.457019438444924 -0.112535637149028
"16" 15 0 0.958119571208954 0.461641468682505 -0.107913606911447
"17" 16 0 0.95031601190567 0.464790496760259 -0.104764578833693
"18" 17 0 0.948357582092285 0.468315334773218 -0.101239740820734
"19" 18 0 0.94708263874054 0.472362850971922 -0.0971922246220302
"20" 19 0 0.941892743110657 0.475317494600432 -0.0942375809935205
"21" 20 0 0.938927173614502 0.478730021598272 -0.0908250539956803
"22" 21 0 0.937120020389557 0.481896328293737 -0.0876587473002159
"23" 22 0 0.936826944351196 0.485874730021598 -0.0836803455723542
"24" 23 0 0.937869846820831 0.488699784017279 -0.0808552915766739
"25" 24 0 0.935892879962921 0.49088120950324 -0.0786738660907128
"26" 25 0 0.929908752441406 0.493904967602592 -0.0756501079913607
"27" 26 0 0.925203204154968 0.496453563714903 -0.0731015118790497
"28" 27 0 0.917829513549805 0.498989200863931 -0.0705658747300216
"29" 28 0 0.914639294147491 0.501382289416847 -0.0681727861771058
"30" 29 0 0.910016536712646 0.504107991360691 -0.0654470842332613
"31" 30 0 0.910265266895294 0.506423326133909 -0.0631317494600432
"32" 31 0 0.909564256668091 0.508721382289417 -0.0608336933045356
"33" 32 0 0.90843278169632 0.510665226781857 -0.058889848812095
"34" 33 0 0.904697835445404 0.513036717062635 -0.0565183585313175
"35" 34 0 0.901179552078247 0.514773218142549 -0.0547818574514038
"36" 35 0 0.899069130420685 0.516760259179266 -0.0527948164146869
"37" 36 0 0.899459064006805 0.519451403887689 -0.0501036717062635
"38" 37 0 0.898504853248596 0.521883369330454 -0.0476717062634989
"39" 38 0 0.89591908454895 0.523904967602592 -0.0456501079913607
"40" 39 0 0.893902719020844 0.525520518358531 -0.0440345572354212
"41" 40 0 0.889151692390442 0.527460043196544 -0.0420950323974082
"42" 0 1 0.817208170890808 0.377019438444924 -0.192535637149028
"43" 1 1 0.859546959400177 0.404501079913607 -0.165053995680346
"44" 2 1 0.880932867527008 0.423356371490281 -0.146198704103672
"45" 3 1 0.901995003223419 0.438673866090713 -0.13088120950324
"46" 4 1 0.923219978809357 0.455537796976242 -0.114017278617711
"47" 5 1 0.940532624721527 0.467105831533477 -0.102449244060475
"48" 6 1 0.949104726314545 0.479343412526998 -0.0902116630669546
"49" 7 1 0.953864395618439 0.489658747300216 -0.0798963282937365
"50" 8 1 0.972569823265076 0.499667386609071 -0.0698876889848812
"51" 9 1 0.978572010993958 0.507555075593953 -0.0619999999999999
"52" 10 1 0.987601459026337 0.515503239740821 -0.0540518358531318
"53" 11 1 0.977862656116486 0.523671706263499 -0.0458833693304536
"54" 12 1 0.973755598068237 0.530937365010799 -0.0386177105831533
"55" 13 1 0.969297707080841 0.537092872570194 -0.0324622030237581
"56" 14 1 0.96878570318222 0.542250539956804 -0.027304535637149
"57" 15 1 0.964823484420776 0.547723542116631 -0.0218315334773218
"58" 16 1 0.957267940044403 0.551792656587473 -0.0177624190064795
"59" 17 1 0.955668210983276 0.556125269978402 -0.0134298056155507
"60" 18 1 0.951696515083313 0.561278617710583 -0.00827645788336928
"61" 19 1 0.947710633277893 0.565140388768898 -0.00441468682505397
"62" 20 1 0.94477653503418 0.569550755939525 -4.31965442759807e-06
"63" 21 1 0.944521903991699 0.573589632829374 0.00403455723542123
"64" 22 1 0.945150673389435 0.578626349892009 0.00907127429805621
"65" 23 1 0.947684764862061 0.582319654427646 0.0127645788336933
"66" 24 1 0.943966865539551 0.58519222462203 0.0156371490280778
"67" 25 1 0.938603043556213 0.588889848812095 0.0193347732181426
"68" 26 1 0.935131967067719 0.592142548596112 0.0225874730021598
"69" 27 1 0.930136978626251 0.595464362850972 0.0259092872570195
"70" 28 1 0.926697134971619 0.598548596112311 0.0289935205183586
"71" 29 1 0.923285663127899 0.602138228941685 0.0325831533477322
"72" 30 1 0.922923505306244 0.605123110151188 0.0355680345572355
"73" 31 1 0.923483490943909 0.608280777537797 0.0387257019438445
"74" 32 1 0.921294510364532 0.610933045356371 0.041377969762419
"75" 33 1 0.917127668857574 0.61407343412527 0.0445183585313175
"76" 34 1 0.91300642490387 0.616708423326134 0.0471533477321815
"77" 35 1 0.91277015209198 0.619602591792657 0.0500475161987042
"78" 36 1 0.911424040794373 0.622993520518359 0.0534384449244061
"79" 37 1 0.910870254039764 0.626103671706263 0.056548596112311
"80" 38 1 0.905872046947479 0.628578833693305 0.0590237580993521
"81" 39 1 0.905581295490265 0.6305313174946 0.060976241900648
"82" 40 1 0.900452017784119 0.632958963282937 0.0634038876889849
"83" 0 2 0.817916512489319 0.386060475161987 -0.183494600431965
"84" 1 2 0.860971391201019 0.416501079913607 -0.153053995680346
"85" 2 2 0.882405877113342 0.43658747300216 -0.132967602591793
"86" 3 2 0.902829349040985 0.452915766738661 -0.116639308855292
"87" 4 2 0.92384797334671 0.470643628509719 -0.0989114470842332
"88" 5 2 0.940805375576019 0.482794816414687 -0.0867602591792657
"89" 6 2 0.949287176132202 0.495550755939525 -0.0740043196544276
"90" 7 2 0.95405250787735 0.506246220302376 -0.0633088552915767
"91" 8 2 0.972435116767883 0.516937365010799 -0.0526177105831533
"92" 9 2 0.978389263153076 0.525123110151188 -0.0444319654427645
"93" 10 2 0.988084256649017 0.533356371490281 -0.0361987041036717
"94" 11 2 0.977754592895508 0.542025917926566 -0.0275291576673866
"95" 12 2 0.972598373889923 0.549637149028078 -0.0199179265658748
"96" 13 2 0.968225538730621 0.556008639308855 -0.0135464362850972
"97" 14 2 0.966692268848419 0.561343412526998 -0.00821166306695464
"98" 15 2 0.963445603847504 0.567010799136069 -0.00254427645788335
"99" 16 2 0.954916894435883 0.571239740820734 0.0016846652267819
"100" 17 2 0.95326179265976 0.575745140388769 0.00619006479481643
"101" 18 2 0.949331760406494 0.581140388768899 0.011585313174946
"102" 19 2 0.945158421993256 0.58517494600432 0.0156198704103672
"103" 20 2 0.942343175411224 0.589796976241901 0.0202419006479482
"104" 21 2 0.942474007606506 0.594082073434125 0.0245269978401728
